"","id1","persons","v98_1","v98_2","persngrp","mailings","phongotv","ward","majpty1","majpty2","age1","age2","placebo","vote98","v98","cntany","pcntany","v96_1","v96_0","age","agemiss","agesq","majorpty","onetreat","onetreat_p"
"19869",6520,1,0,0,0,3,0,11,1,1,74,74,0,0,0,0,0,0,1,74,0,5476,1,1,1
"19870",10500,1,0,0,0,1,1,29,1,1,90,90,0,0,0,0,1,0,1,90,0,8100,1,0,0
"19871",9465,1,0,0,0,0,0,14,1,1,42,42,0,0,0,0,0,0,1,42,0,1764,1,1,1
"19872",9997,2,1,0,0,0,0,14,0,0,83,78,0,1,1,0,0,1,0,83,0,6889,0,1,1
"19873",20217,2,0,0,0,0,0,17,1,1,80,52,0,0,0,0,0,0,1,80,0,6400,1,1,1
"19874",5684,1,0,0,0,0,0,11,1,1,59,59,0,0,0,0,0,0,1,59,0,3481,1,1,1
"19875",17212,1,1,1,0,3,0,11,1,1,47,47,0,1,1,0,0,1,0,47,0,2209,1,1,1
"19876",12522,2,1,0,0,2,1,17,1,1,57,62,0,1,1,0,1,1,0,57,0,3249,1,0,0
"19877",4027,2,0,0,0,1,0,18,0,0,34,36,0,0,0,0,0,0,1,34,0,1156,0,1,1
"19878",1972,1,0,0,0,2,1,10,0,0,28,28,0,0,0,0,0,1,0,28,0,784,0,0,0
"19879",20281,1,0,0,0,0,0,17,0,0,30,30,0,0,0,0,0,0,0,30,0,900,0,1,1
"19880",5569,1,99,99,0,1,1,11,1,1,46,46,0,99,0,0,1,0,0,46,0,2116,1,0,0
"19881",2579,2,0,1,0,2,1,17,1,0,43,38,0,0,0,0,0,1,0,43,0,1849,1,0,0
"19882",16830,2,0,0,0,0,0,13,1,1,25,24,0,0,0,0,0,0,0,25,0,625,1,1,1
"19883",3203,1,0,0,0,0,0,16,1,1,22,22,0,0,0,0,0,0,0,22,0,484,1,1,1
"19884",14234,1,0,0,0,2,0,15,0,0,31,31,0,0,0,0,0,0,0,31,0,961,0,1,1
"19885",2618,2,0,0,0,0,1,16,1,1,42,47,0,0,0,0,0,0,1,42,0,1764,1,1,1
"19886",14027,1,0,0,0,0,0,26,1,1,27,27,0,0,0,0,0,1,0,27,0,729,1,1,1
"19887",10244,1,0,0,0,2,1,6,1,1,30,30,0,0,0,0,1,0,0,30,0,900,1,0,0
"19888",19268,1,0,0,0,0,0,6,1,1,30,30,0,0,0,0,0,1,0,30,0,900,1,1,1
"19889",3696,1,0,0,0,3,1,3,1,1,49,49,0,0,0,0,0,0,1,49,0,2401,1,0,0
"19890",16073,1,0,0,0,3,1,15,1,1,40,40,0,0,0,0,0,0,0,40,0,1600,1,0,0
"19891",10952,1,0,0,0,0,0,30,1,1,47,47,1,0,0,0,0,0,0,47,0,2209,1,0,1
"19892",17266,1,0,0,0,1,1,13,1,1,31,31,0,0,0,0,0,0,0,31,0,961,1,0,0
"19893",8552,1,99,99,0,1,0,13,1,1,26,26,0,99,0,0,0,0,0,26,0,676,1,1,1
"19894",8561,1,0,0,0,1,0,13,1,1,29,29,0,0,0,0,0,0,1,29,0,841,1,1,1
"19895",18426,1,0,0,0,2,0,21,0,0,30,30,0,0,0,0,0,0,1,30,0,900,0,1,1
"19896",2793,1,1,1,0,2,1,16,1,1,39,39,0,1,1,0,0,0,0,39,0,1521,1,0,0
"19897",10933,1,0,0,0,0,0,30,1,1,23,23,0,0,0,0,0,0,0,23,0,529,1,1,1
"19898",15407,1,0,0,0,0,0,10,1,1,32,32,0,0,0,0,0,0,1,32,0,1024,1,1,1
"19899",4371,1,1,1,0,0,0,18,0,0,81,81,0,1,1,0,0,1,0,81,0,6561,0,1,1
"19900",17857,1,0,0,0,0,0,13,1,1,85,85,0,0,0,0,0,1,0,85,0,7225,1,1,1
"19901",6365,1,1,1,0,0,0,11,0,0,90,90,0,1,1,0,0,1,0,90,0,8100,0,1,1
"19902",16937,1,0,0,0,0,0,13,0,0,23,23,0,0,0,0,0,0,1,23,0,529,0,1,1
"19903",15130,1,0,0,0,1,1,9,0,0,84,84,0,0,0,0,1,0,1,84,0,7056,0,0,0
"19904",6988,2,0,0,0,0,0,17,1,1,67,27,0,0,0,0,0,1,0,67,0,4489,1,1,1
"19905",19193,1,0,0,0,2,0,9,1,1,35,35,0,0,0,0,0,1,0,35,0,1225,1,1,1
"19906",10726,1,1,1,0,0,0,12,1,1,40,40,0,1,1,0,0,0,1,40,0,1600,1,1,1
"19907",7385,1,0,0,0,3,1,28,1,1,61,61,0,0,0,0,0,0,0,61,0,3721,1,0,0
"19908",12861,1,1,1,0,0,0,18,1,1,74,74,0,1,1,0,0,1,0,74,0,5476,1,1,1
"19909",15421,1,1,1,0,0,0,9,1,1,81,81,0,1,1,0,0,1,0,81,0,6561,1,1,1
"19910",16504,2,0,1,0,1,0,16,1,1,42,45,0,0,0,0,0,0,0,42,0,1764,1,1,1
"19911",3571,2,0,0,0,1,0,22,1,1,22,44,0,0,0,0,0,0,1,22,0,484,1,1,1
"19912",20890,1,0,0,0,0,0,8,1,1,82,82,0,0,0,0,0,0,1,82,0,6724,1,1,1
"19913",19718,2,1,1,0,3,0,22,1,1,53,52,0,1,1,0,0,1,0,53,0,2809,1,1,1
"19914",8990,1,0,0,0,3,0,27,1,1,22,22,0,0,0,0,0,0,0,22,0,484,1,1,1
"19915",6146,1,1,1,0,0,0,11,1,1,72,72,0,1,1,0,0,1,0,72,0,5184,1,1,1
"19916",9482,2,1,1,0,0,0,14,1,1,56,32,0,1,1,0,0,1,0,56,0,3136,1,1,1
"19917",21398,1,1,1,0,0,0,4,1,1,57,57,0,1,1,0,0,1,0,57,0,3249,1,1,1
"19918",11011,1,0,0,0,0,0,24,0,0,31,31,0,0,0,0,0,0,0,31,0,961,0,1,1
"19919",13049,1,1,1,0,1,1,10,1,1,46,46,0,1,1,0,1,1,0,46,0,2116,1,0,0
"19920",3957,1,1,1,0,1,1,7,1,1,53,53,0,1,1,0,1,1,0,53,0,2809,1,0,0
"19921",5561,1,1,1,0,3,0,11,0,0,79,79,0,1,1,0,0,1,0,79,0,6241,0,1,1
"19922",9239,2,0,0,0,1,1,12,1,0,62,71,0,0,0,0,1,0,0,62,0,3844,1,0,0
"19923",9818,1,1,1,0,0,0,27,1,1,82,82,0,1,1,0,0,1,0,82,0,6724,1,1,1
"19924",20694,1,1,1,0,1,0,27,1,1,51,51,0,1,1,0,0,1,0,51,0,2601,1,1,1
"19925",8714,2,0,0,0,0,0,18,1,1,77,75,0,0,0,0,0,1,0,77,0,5929,1,1,1
"19926",20033,2,1,1,0,0,0,18,1,0,42,42,0,1,1,0,0,1,0,42,0,1764,1,1,1
"19927",6082,1,1,1,0,0,1,11,1,1,86,86,0,1,1,0,0,0,1,86,0,7396,1,1,1
"19928",7852,2,1,1,0,2,0,12,0,0,75,75,0,1,1,0,0,1,0,75,0,5625,0,1,1
"19929",10053,1,1,1,0,0,0,14,1,1,78,78,0,1,1,0,0,1,0,78,0,6084,1,1,1
"19930",12270,2,0,1,0,3,0,13,0,1,47,74,0,0,0,0,0,0,1,47,0,2209,0,1,1
"19931",12268,1,1,1,0,0,0,13,1,1,79,79,0,1,1,0,0,1,0,79,0,6241,1,1,1
